,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
0,2016-01-01,CONDUCTOR,MASCULINO,19,2016-0001,1,04:00:00,AVENIDA,PIEDRA BUENA AV.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
1,2016-01-02,CONDUCTOR,MASCULINO,70,2016-0002,1,01:15:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2,2016-01-03,CONDUCTOR,MASCULINO,30,2016-0003,1,07:00:00,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
3,2016-01-10,CONDUCTOR,MASCULINO,18,2016-0004,1,00:00:00,AVENIDA,LARRAZABAL AV.,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO-SD,MOTO,AUTO
4,2016-01-21,CONDUCTOR,MASCULINO,29,2016-0005,1,05:20:00,AVENIDA,SAN JUAN AV.,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS
5,2016-01-24,CONDUCTOR,MASCULINO,30,2016-0008,1,18:30:00,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
6,2016-01-24,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-0009,1,19:10:00,CALLE,NOGOYA,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO
7,2016-01-29,CONDUCTOR,MASCULINO,18,2016-0010,1,15:20:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
8,2016-02-08,CONDUCTOR,MASCULINO,22,2016-0012,1,01:20:00,AVENIDA,BELGRANO AV.,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
9,2016-02-10,PEATON,MASCULINO,16,2016-0013,1,11:30:00,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
10,2016-02-14,PEATON,FEMENINO,16,2016-0015,1,05:14:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO
11,2016-02-14,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-0016,1,22:00:00,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
12,2016-02-15,PEATON,MASCULINO,59,2016-0017,1,16:54:00,AVENIDA,"ACOSTA, MARIANO","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
13,2016-02-17,PEATON,FEMENINO,65,2016-0019,1,09:30:00,CALLE,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
14,2016-02-17,PEATON,MASCULINO,59,2016-0020,1,16:00:00,CALLE,SUIPACHA,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
15,2016-02-17,CONDUCTOR,MASCULINO,34,2016-0021,1,23:35:00,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO
16,2016-02-21,PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-0022,1,06:00:00,AVENIDA,9 DE JULIO AV.,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO
17,2016-02-28,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-0025,1,04:50:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO
18,2016-02-28,CONDUCTOR,MASCULINO,30,2016-0026,1,07:30:00,CALLE,HOLMBERG,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
19,2016-02-28,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-0027,1,09:35:00,AVENIDA,CURAPALIGUE AV.,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO
20,2016-03-02,PEATON,MASCULINO,50,2016-0028,1,10:00:00,AVENIDA,VIAMONTE,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS
21,2016-03-04,PEATON,MASCULINO,38,2016-0029,1,17:30:00,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS
22,2016-03-08,CONDUCTOR,MASCULINO,21,2016-0031,1,12:30:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS
23,2016-03-12,PEATON,MASCULINO,52,2016-0034,1,12:30:00,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
24,2016-03-13,CONDUCTOR,MASCULINO,34,2016-0035,1,06:00:00,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS
25,2016-03-14,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-0036,1,00:15:00,CALLE,HERRERA,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS
